hole_id,x_3d,y_3d,z_3d,u_2d_mm,v_2d_mm,diameter_mm,solidity,axis_ratio,circularity
1,-44.310382,15.854515,10.728927,-14.861987,-38.480218,0.8063,0.9411,0.7952,0.7692
2,-42.211019,1.370169,9.086688,-0.403491,-35.678000,1.2982,0.9049,0.8397,0.5551
3,-42.325246,-6.065138,9.105680,7.032647,-35.710408,1.2644,0.8582,0.6539,0.4499
4,-39.477132,13.533137,7.213552,-12.597949,-32.481794,0.9510,0.8779,0.6060,0.5198
5,-20.403694,13.771883,-6.578734,-13.062318,-8.947466,1.0224,0.8776,0.9149,0.5092
6,-20.321982,6.449029,-6.700486,-5.740944,-8.739715,1.1589,0.9023,0.8828,0.5059
7,-20.435702,-5.831859,-6.723321,6.540429,-8.700751,1.0720,0.9166,0.7197,0.6189
8,-18.409673,13.700393,-8.021465,-13.014424,-6.485677,0.9692,0.9233,0.6698,0.5441
9,-15.606377,-7.853749,-10.233295,8.505047,-2.711543,1.0611,0.9132,0.9618,0.6499
10,-10.603084,6.374897,-13.730040,-5.781792,3.255093,1.0143,0.8891,0.9552,0.4810
11,-10.684313,-5.775888,-13.775261,6.369104,3.332254,1.0830,0.9104,0.8300,0.5065
12,-10.161542,13.657247,-13.987063,-13.068856,3.693661,0.9403,0.9044,0.6180,0.5136
13,-3.964420,-6.315370,-18.639850,6.829051,11.632897,1.1124,0.9211,0.8825,0.5037
14,4.919212,12.585393,-24.902965,-12.175483,22.319901,0.9170,0.9185,0.7818,0.6982
15,8.064493,12.511130,-27.178337,-12.138434,26.202459,0.9309,0.9106,0.8929,0.6899
16,11.214479,12.509520,-29.456490,-12.174089,30.089762,0.9146,0.9375,0.9386,0.7470
17,12.967243,-9.727022,-30.914391,10.040162,32.577436,0.9565,0.9385,0.9297,0.7456
